name,description,url
Entry Level Customer Service 7.1 (Americas),Entry Level Customer Service 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-service-7-1-%28americas%29/
Entry Level Customer Service 7.1 (International),Entry Level Customer Service 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-service-%28retail-and-cc%29-7-1/
Entry Level Customer Service 7.1 (South Africa),Entry Level Customer Service 7.1 (South Africa),https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-service-7-1-%28south-africa%29/
Entry level Sales 7.1 (Americas),Entry level Sales 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-7-1-%28americas%29/
Entry level Sales 7.1 (International),Entry level Sales 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-7-1/
Entry Level Sales Sift Out 7.1,Entry Level Sales Sift Out 7.1,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-sift-out-7-1/
Event Sales Manager Solution,Event Sales Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/event-sales-manager-solution/
Executive - Short Form,Executive - Short Form,https://www.shl.com/solutions/products/product-catalog/view/executive-short-form/
Financial Professional - Short Form,Financial Professional - Short Form,https://www.shl.com/solutions/products/product-catalog/view/financial-professional-short-form/
Apache Hadoop Extensions (New),Apache Hadoop Extensions (New),https://www.shl.com/solutions/products/product-catalog/view/apache-hadoop-extensions-new/
Apache HBase (New),Apache HBase (New),https://www.shl.com/solutions/products/product-catalog/view/apache-hbase-new/
Apache Hive (New),Apache Hive (New),https://www.shl.com/solutions/products/product-catalog/view/apache-hive-new/
Apache Kafka (New),Apache Kafka (New),https://www.shl.com/solutions/products/product-catalog/view/apache-kafka-new/
Apache Pig (New),Apache Pig (New),https://www.shl.com/solutions/products/product-catalog/view/apache-pig-new/
Apache Spark (New),Apache Spark (New),https://www.shl.com/solutions/products/product-catalog/view/apache-spark-new/
ASP .NET with C# (New),ASP .NET with C# (New),https://www.shl.com/solutions/products/product-catalog/view/asp-net-with-c-new/
ASP.NET 4.5,ASP.NET 4.5,https://www.shl.com/solutions/products/product-catalog/view/asp-net-4-5/
Assessment and Development Center Exercises,Assessment and Development Center Exercises,https://www.shl.com/solutions/products/product-catalog/view/assessment-and-development-center-exercises/
Automata - Fix (New),Automata - Fix (New),https://www.shl.com/solutions/products/product-catalog/view/automata-fix-new/
Automata - SQL (New),Automata - SQL (New),https://www.shl.com/solutions/products/product-catalog/view/automata-sql-new/
Automata (New),Automata (New),https://www.shl.com/solutions/products/product-catalog/view/automata-new/
Financial Services Representative Solution,Financial Services Representative Solution,https://www.shl.com/solutions/products/product-catalog/view/financial-services-representative-solution/
Front Desk Associate Solution,Front Desk Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/front-desk-associate-solution/
Gaming Associate Solution,Gaming Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/gaming-associate-solution/
Gaming Manager Solution,Gaming Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/gaming-manager-solution/
General Entry Level - All Industries 7.0 Solution,General Entry Level - All Industries 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-all-industries-7-0-solution/
General Entry Level - All Industries 7.1 Solution,General Entry Level - All Industries 7.1 Solution,https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-all-industries-7-1-solution/
